respid,Reason for choosing third profile (Korean),Reason translated
380,의사로서 우리나라의 의료기술에 도움을 줄 수 있을 것 같다고 생각했기 때문입니다.,"Because as a doctor, I think that they will be able to help our country’s medical techniques"
382,국적,Nationality
383,미국 일본,"US, Japan"
236,한국과 더욱 가가운 나라에서 이민온 외국인,A foreigner who has immigrated from a country closer to Korea
384,믿음이 가는 쪽을 선택,I chose the person I believed in more
385,신뢰감이 크다,Had a strong sense of reliability
386,구직활동에 대한 계획 또는 명확한 취업사실 확인,Plans for employment-seeking activities or clear employment has been confirmed
381,지금도 의사는 많음,There are many doctors even now
387,합리적인 것 같아서,Because I think they are rational
389,북한 탈북자는 우리나라국민이다.,North Korean defectors are people of our country
391,두나라밖에없어,There are only two countries
392,농촌의 일손부족,Shortage of farmers
393,구직활동기준,Based on employment-seeking activities
395,프로필을 보고 마음이가는데로 선택,I looked at the profiles and chose the person I was drawn to most
396,같은 한민족이기 때문에 북한사람을 선택함,I chose the North Korean person because we all belong to the Korean race
399,언어,Language
397,예멘,Yemen
400,망명이기 때문에. 일시적인게 아니어서.,Because they are asylum seekers. Because it is not temporary.
401,확실한 동기를 가지고 입국,They are coming in with a definite motive
402,"단기체류, 국적","Short-term stay, nationality"
403,국익에 도움,Helps our national interest
404,국가,Country
405,직업이 의사이고 구직활동을 할 예정이라는 점 때문에,Because they are a doctor and they plan to seek employment
406,딱히 없음,No particular reason
407,생산적인 직업을 가지고 있어서,Because they have productive job
410,재정착하기 위해 노력하고 있는 점과 단기가 아닌 장기간이라는 점,Because they are trying to resettle and they plan to stay long term not short term
411,여성으로서 나라에 이바지할 것같음,I think they will contribute to the country as a woman
412,단기근무가 아닌 망명이므로,Because they are seeking asylum and will not work here short-term
414,유창한 한국어를 사용하고 동포이기 때문에,Because they speak fluent Korean and is an ethnic Korean
415,질문을 이해하기 어렵습니다.,It is difficult to understand the question.
416,개인적으로 베트남인을 선호.,"Personally, I prefer Vietnamese."
417,별다른 이유 없다,No particular reason.
418,rmsid,rmsid
419,취업,Employment
420,한국말 능통자,Fluent in Korean
421,안정되게 정착할 가능성이 높다,There is high possibility that they will settle down in a stable manner.
422,"제일 우선 순위는 여성인가, 다음으로는 한국어를 조금이라도 할 수 있는가","First priority is whether they are female, and then I consider whether they can speak Korean"
423,그나마 불법체류자가 될 가능성이 낮아 보여서,Because I don’t think they will become an illegal immigrant
424,신원의 확실함,Their identity is certain
425,출신국과 체류목적이 공부나 취업인 경우를 선호,I consider their country of origin and prefer people who's purpose of stay is study or work
426,"언어, 직업, 정착의욕","Language, occupation, desire to settle"
427,고용확정,Confirmed employment
429,한국어를 할수있어서,Because they can speak Korean
431,국적,Nationality
432,어디서든 살기위한 노력은 이해해줘야할거같음,I think we need to understand people’s efforts to live anywhere
433,장기적으로 한국인이 되지 않을 경우에 이민을 확정해주고 싶은 생각은 없지만 재정착을 목적으로 온 경우가 한국에 더 오래 있을 것 같다,"I don’t want to approve their immigration if they will not become a Korean in the long term, but I think those who come here with the objective of resettling with stay in Korea longer"
434,모르겠음,I don't know
435,망명자로 영구 정착에 안정적,Stable permanent settlement as an asylum seeker
436,좀더 나라에 필요하고 성실하게 일하고 살아갈수있는 사람들을 뽑았다.,I chose someone that the country needs more and someone who will work and live diligently
437,그냥 그런 마음이 들었다.,I just felt that way
438,틉별한 이유없음,No special reason
439,같은 민족에게 기회를 주고 싶다,I want to give a chance to an ethnic Korean
440,다른 후보보다 구직이나 정착의 절박함이 더 큰 것 같아서.,Because it seemed this person was seeking work and resettlement more urgently
441,한국어를 하면서 여성이기 때문이다,Because they can speak Korean and are female
442,사회에 도움이 될것 같음,Because I think they will be helpful to society
443,괜찮아보여서,Because they seemed okay
444,한국어를 사용할 수 있어서,Because they can speak Korean
445,계약완료,Contract has been concluded
446,확실한 이유가 있어서,Because they had a clear reason
447,단기근무 보다는 망명을 원하는 사람에게 기회를 주는게 맞지 않나 싶다.,I think giving the opportunity to someone who is seeking asylum would be better than someone seeking short-term work
448,내국인에 대한 위해감이 없고 사회적 분위기를 흐리지 않을거 같아 선택함,I chose this person because I didn’t think they would be harmful to locals and would not cloud the social atmosphere
