Respid,ConjointFinal,dR,dProfile,Immigrant_preferred,Application,Country,Language,Profession,Employment,Gender,Ethnicity
12,6x2,55,2,0,Short-term work,United States,Broken Korean,Office worker,Will look for work after arrival,Male,Non-ethnic Korean
13,1x1,56,1,0,Claim asylum,China,Fluent Korean,Doctor,Will look for work after arrival,Female,Ethnic Korean
13,1x2,56,2,1,Resettle,Japan,Tried Korean but unable,Computer programmer,Will look for work after arrival,Male,Non-ethnic Korean
13,2x1,56,1,0,Resettle,China,Tried Korean but unable,Childcare provider,Will look for work after arrival,Female,Non-ethnic Korean
13,2x2,56,2,1,Short-term work,Yemen,Fluent Korean,Computer programmer,Has contract with employer,Female,Ethnic Korean
13,3x1,56,1,0,Claim asylum,North Korea,Tried Korean but unable,Office worker,Job interviews only,Male,Ethnic Korean
13,3x2,56,2,1,Claim asylum,China,Tried Korean but unable,Computer programmer,Job interviews only,Male,Ethnic Korean
13,4x1,56,1,0,Short-term work,North Korea,Broken Korean,Teacher,Will look for work after arrival,Male,Ethnic Korean
13,4x2,56,2,1,Claim asylum,Yemen,Fluent Korean,Doctor,Will look for work after arrival,Female,Non-ethnic Korean
13,5x1,56,1,0,Claim asylum,China,Tried Korean but unable,Computer programmer,Will look for work after arrival,Male,Ethnic Korean
13,5x2,56,2,1,Claim asylum,China,Spoke via interpreter,Doctor,No plans to look for work,Female,Non-ethnic Korean
13,6x1,56,1,0,Short-term work,China,Spoke via interpreter,Office worker,Has contract with employer,Female,Ethnic Korean
13,6x2,56,2,1,Study,North Korea,Spoke via interpreter,Teacher,Will look for work after arrival,Female,Ethnic Korean
14,1x1,57,1,1,Study,United States,Fluent Korean,Doctor,Has contract with employer,Female,Non-ethnic Korean
14,1x2,57,2,0,Short-term work,North Korea,Tried Korean but unable,Teacher,Has contract with employer,Male,Ethnic Korean
14,2x1,57,1,0,Study,Yemen,Fluent Korean,Computer programmer,Will look for work after arrival,Female,Non-ethnic Korean
14,2x2,57,2,1,Claim asylum,United States,Spoke via interpreter,Teacher,Job interviews only,Female,Non-ethnic Korean
14,3x1,57,1,0,Claim asylum,Vietnam,Spoke via interpreter,Childcare provider,Will look for work after arrival,Male,Ethnic Korean
14,3x2,57,2,1,Study,China,Fluent Korean,Research scientist,Will look for work after arrival,Female,Non-ethnic Korean
14,4x1,57,1,1,Claim asylum,Vietnam,Fluent Korean,Agricultural worker,Job interviews only,Female,Ethnic Korean
14,4x2,57,2,0,Study,North Korea,Tried Korean but unable,Office worker,No plans to look for work,Male,Ethnic Korean
14,5x1,57,1,1,Claim asylum,North Korea,Tried Korean but unable,Childcare provider,Has contract with employer,Female,Ethnic Korean
14,5x2,57,2,0,Study,Yemen,Fluent Korean,Computer programmer,Has contract with employer,Female,Ethnic Korean
14,6x1,57,1,0,Short-term work,North Korea,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
14,6x2,57,2,1,Claim asylum,Yemen,Spoke via interpreter,Office worker,Will look for work after arrival,Male,Ethnic Korean
15,1x1,58,1,0,Study,Vietnam,Tried Korean but unable,Childcare provider,No plans to look for work,Female,Ethnic Korean
15,1x2,58,2,1,Study,Yemen,Fluent Korean,Computer programmer,Has contract with employer,Female,Ethnic Korean
15,2x1,58,1,0,Resettle,Yemen,Broken Korean,Teacher,Will look for work after arrival,Male,Ethnic Korean
15,2x2,58,2,1,Study,Yemen,Broken Korean,Research scientist,Job interviews only,Female,Non-ethnic Korean
15,3x1,58,1,0,Resettle,North Korea,Broken Korean,Computer programmer,Job interviews only,Male,Non-ethnic Korean
15,3x2,58,2,1,Resettle,China,Fluent Korean,Doctor,Will look for work after arrival,Female,Ethnic Korean
15,4x1,58,1,1,Study,Yemen,Broken Korean,Computer programmer,Has contract with employer,Male,Ethnic Korean
15,4x2,58,2,0,Claim asylum,United States,Tried Korean but unable,Research scientist,Job interviews only,Male,Ethnic Korean
15,5x1,58,1,0,Short-term work,United States,Spoke via interpreter,Teacher,Will look for work after arrival,Female,Non-ethnic Korean
15,5x2,58,2,1,Short-term work,Vietnam,Fluent Korean,Agricultural worker,Job interviews only,Male,Non-ethnic Korean
15,6x1,58,1,0,Study,United States,Spoke via interpreter,Research scientist,Has contract with employer,Male,Non-ethnic Korean
15,6x2,58,2,1,Study,Yemen,Tried Korean but unable,Computer programmer,Has contract with employer,Female,Ethnic Korean
16,1x1,59,1,1,Study,China,Tried Korean but unable,Teacher,No plans to look for work,Male,Non-ethnic Korean
16,1x2,59,2,0,Claim asylum,United States,Broken Korean,Nurse,Job interviews only,Male,Non-ethnic Korean
16,2x1,59,1,1,Short-term work,Japan,Spoke via interpreter,Office worker,No plans to look for work,Female,Non-ethnic Korean
16,2x2,59,2,0,Claim asylum,Vietnam,Fluent Korean,Office worker,No plans to look for work,Male,Non-ethnic Korean
16,3x1,59,1,0,Resettle,Yemen,Fluent Korean,Nurse,Job interviews only,Male,Ethnic Korean
16,3x2,59,2,1,Study,Japan,Fluent Korean,Research scientist,Has contract with employer,Male,Ethnic Korean
16,4x1,59,1,0,Resettle,United States,Fluent Korean,Childcare provider,Will look for work after arrival,Male,Non-ethnic Korean
16,4x2,59,2,1,Study,Yemen,Broken Korean,Office worker,Will look for work after arrival,Male,Ethnic Korean
16,5x1,59,1,0,Resettle,Japan,Broken Korean,Childcare provider,No plans to look for work,Female,Non-ethnic Korean
16,5x2,59,2,1,Short-term work,Vietnam,Fluent Korean,Childcare provider,No plans to look for work,Female,Ethnic Korean
16,6x1,59,1,0,Claim asylum,Japan,Tried Korean but unable,Agricultural worker,No plans to look for work,Male,Ethnic Korean
16,6x2,59,2,1,Short-term work,Yemen,Tried Korean but unable,Doctor,Has contract with employer,Female,Non-ethnic Korean
18,1x1,61,1,0,Study,Vietnam,Broken Korean,Office worker,Has contract with employer,Male,Ethnic Korean
18,1x2,61,2,1,Claim asylum,Vietnam,Fluent Korean,Nurse,Has contract with employer,Male,Ethnic Korean
18,2x1,61,1,0,Resettle,China,Tried Korean but unable,Nurse,Job interviews only,Male,Non-ethnic Korean
18,2x2,61,2,1,Claim asylum,North Korea,Broken Korean,Doctor,Has contract with employer,Male,Non-ethnic Korean
18,3x1,61,1,0,Study,United States,Broken Korean,Office worker,Job interviews only,Female,Ethnic Korean
18,3x2,61,2,1,Resettle,North Korea,Broken Korean,Research scientist,Has contract with employer,Male,Ethnic Korean
18,4x1,61,1,0,Short-term work,Vietnam,Tried Korean but unable,Agricultural worker,No plans to look for work,Male,Non-ethnic Korean
18,4x2,61,2,1,Short-term work,China,Fluent Korean,Office worker,Will look for work after arrival,Female,Ethnic Korean
18,5x1,61,1,0,Study,China,Spoke via interpreter,Teacher,No plans to look for work,Male,Ethnic Korean
18,5x2,61,2,1,Resettle,United States,Tried Korean but unable,Childcare provider,Will look for work after arrival,Female,Non-ethnic Korean
18,6x1,61,1,1,Claim asylum,United States,Fluent Korean,Research scientist,Job interviews only,Female,Ethnic Korean
18,6x2,61,2,0,Claim asylum,Yemen,Tried Korean but unable,Childcare provider,Has contract with employer,Male,Non-ethnic Korean
19,1x1,62,1,1,Claim asylum,China,Fluent Korean,Office worker,Job interviews only,Male,Non-ethnic Korean
19,1x2,62,2,0,Study,North Korea,Tried Korean but unable,Nurse,Will look for work after arrival,Male,Ethnic Korean
19,2x1,62,1,0,Short-term work,Japan,Spoke via interpreter,Nurse,No plans to look for work,Male,Ethnic Korean
19,2x2,62,2,1,Resettle,North Korea,Fluent Korean,Computer programmer,Job interviews only,Male,Non-ethnic Korean
19,3x1,62,1,1,Claim asylum,Yemen,Tried Korean but unable,Teacher,Job interviews only,Female,Ethnic Korean
19,3x2,62,2,0,Study,China,Tried Korean but unable,Agricultural worker,Has contract with employer,Male,Non-ethnic Korean
19,4x1,62,1,1,Claim asylum,Japan,Fluent Korean,Childcare provider,Will look for work after arrival,Male,Non-ethnic Korean
19,4x2,62,2,0,Study,Yemen,Tried Korean but unable,Childcare provider,Will look for work after arrival,Male,Ethnic Korean
19,5x1,62,1,0,Study,North Korea,Tried Korean but unable,Nurse,Has contract with employer,Male,Ethnic Korean
19,5x2,62,2,1,Claim asylum,Yemen,Tried Korean but unable,Agricultural worker,Will look for work after arrival,Female,Non-ethnic Korean
19,6x1,62,1,0,Short-term work,North Korea,Tried Korean but unable,Doctor,No plans to look for work,Male,Ethnic Korean
19,6x2,62,2,1,Short-term work,Japan,Tried Korean but unable,Agricultural worker,Will look for work after arrival,Female,Non-ethnic Korean
20,1x1,63,1,0,Claim asylum,North Korea,Broken Korean,Agricultural worker,Job interviews only,Male,Ethnic Korean
20,1x2,63,2,1,Claim asylum,Vietnam,Spoke via interpreter,Doctor,No plans to look for work,Female,Non-ethnic Korean
20,2x1,63,1,0,Resettle,North Korea,Spoke via interpreter,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
20,2x2,63,2,1,Resettle,Japan,Fluent Korean,Childcare provider,Has contract with employer,Female,Ethnic Korean
20,3x1,63,1,1,Claim asylum,Vietnam,Fluent Korean,Teacher,Has contract with employer,Male,Ethnic Korean
20,3x2,63,2,0,Study,United States,Spoke via interpreter,Agricultural worker,Has contract with employer,Male,Ethnic Korean
20,4x1,63,1,0,Resettle,China,Tried Korean but unable,Computer programmer,Job interviews only,Male,Non-ethnic Korean
20,4x2,63,2,1,Short-term work,Vietnam,Tried Korean but unable,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
20,5x1,63,1,0,Claim asylum,North Korea,Tried Korean but unable,Teacher,Job interviews only,Male,Ethnic Korean
20,5x2,63,2,1,Short-term work,United States,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
20,6x1,63,1,0,Study,China,Fluent Korean,Doctor,Job interviews only,Male,Non-ethnic Korean
20,6x2,63,2,1,Short-term work,Yemen,Fluent Korean,Doctor,No plans to look for work,Female,Non-ethnic Korean
22,1x1,65,1,0,Resettle,Vietnam,Broken Korean,Agricultural worker,No plans to look for work,Female,Ethnic Korean
22,1x2,65,2,1,Short-term work,North Korea,Tried Korean but unable,Teacher,Has contract with employer,Male,Non-ethnic Korean
22,2x1,65,1,1,Resettle,United States,Spoke via interpreter,Research scientist,No plans to look for work,Male,Non-ethnic Korean
22,2x2,65,2,0,Resettle,Japan,Tried Korean but unable,Research scientist,Has contract with employer,Female,Ethnic Korean
22,3x1,65,1,0,Resettle,Yemen,Broken Korean,Office worker,No plans to look for work,Female,Ethnic Korean
22,3x2,65,2,1,Resettle,United States,Spoke via interpreter,Doctor,Will look for work after arrival,Male,Non-ethnic Korean
22,4x1,65,1,1,Resettle,United States,Broken Korean,Agricultural worker,No plans to look for work,Male,Ethnic Korean
22,4x2,65,2,0,Resettle,Japan,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
22,5x1,65,1,1,Resettle,North Korea,Tried Korean but unable,Research scientist,Will look for work after arrival,Male,Non-ethnic Korean
22,5x2,65,2,0,Resettle,Vietnam,Spoke via interpreter,Nurse,Will look for work after arrival,Female,Ethnic Korean
22,6x1,65,1,0,Claim asylum,Japan,Tried Korean but unable,Doctor,Will look for work after arrival,Female,Ethnic Korean
22,6x2,65,2,1,Claim asylum,Vietnam,Tried Korean but unable,Nurse,No plans to look for work,Male,Non-ethnic Korean
23,1x1,66,1,1,Claim asylum,Yemen,Broken Korean,Doctor,Will look for work after arrival,Female,Ethnic Korean
23,1x2,66,2,0,Resettle,Japan,Spoke via interpreter,Computer programmer,Will look for work after arrival,Female,Ethnic Korean
23,2x1,66,1,0,Study,Japan,Spoke via interpreter,Doctor,Job interviews only,Female,Ethnic Korean
23,2x2,66,2,1,Claim asylum,Vietnam,Tried Korean but unable,Office worker,Has contract with employer,Female,Ethnic Korean
23,3x1,66,1,1,Resettle,Vietnam,Broken Korean,Teacher,Has contract with employer,Female,Non-ethnic Korean
23,3x2,66,2,0,Short-term work,Yemen,Broken Korean,Nurse,No plans to look for work,Male,Ethnic Korean
23,4x1,66,1,1,Short-term work,North Korea,Tried Korean but unable,Doctor,Will look for work after arrival,Female,Ethnic Korean
23,4x2,66,2,0,Study,North Korea,Tried Korean but unable,Research scientist,Will look for work after arrival,Male,Non-ethnic Korean
23,5x1,66,1,1,Resettle,China,Spoke via interpreter,Nurse,Has contract with employer,Male,Ethnic Korean
23,5x2,66,2,0,Resettle,North Korea,Broken Korean,Office worker,No plans to look for work,Male,Ethnic Korean
23,6x1,66,1,1,Short-term work,China,Fluent Korean,Agricultural worker,Has contract with employer,Male,Non-ethnic Korean
23,6x2,66,2,0,Study,United States,Broken Korean,Agricultural worker,Has contract with employer,Male,Non-ethnic Korean
24,1x1,67,1,1,Short-term work,North Korea,Tried Korean but unable,Childcare provider,Has contract with employer,Female,Ethnic Korean
24,1x2,67,2,0,Study,Japan,Spoke via interpreter,Teacher,Job interviews only,Female,Non-ethnic Korean
24,2x1,67,1,1,Claim asylum,North Korea,Spoke via interpreter,Teacher,No plans to look for work,Female,Non-ethnic Korean
24,2x2,67,2,0,Claim asylum,Yemen,Broken Korean,Agricultural worker,Job interviews only,Female,Ethnic Korean
24,3x1,67,1,0,Claim asylum,Yemen,Tried Korean but unable,Nurse,Will look for work after arrival,Female,Ethnic Korean
24,3x2,67,2,1,Claim asylum,United States,Spoke via interpreter,Doctor,Will look for work after arrival,Male,Ethnic Korean
24,4x1,67,1,0,Study,United States,Tried Korean but unable,Office worker,No plans to look for work,Female,Ethnic Korean
24,4x2,67,2,1,Claim asylum,North Korea,Fluent Korean,Computer programmer,Has contract with employer,Male,Non-ethnic Korean
24,5x1,67,1,0,Study,China,Fluent Korean,Doctor,No plans to look for work,Female,Ethnic Korean
24,5x2,67,2,1,Resettle,North Korea,Fluent Korean,Agricultural worker,Will look for work after arrival,Female,Non-ethnic Korean
24,6x1,67,1,0,Resettle,Yemen,Spoke via interpreter,Childcare provider,Has contract with employer,Male,Ethnic Korean
24,6x2,67,2,1,Claim asylum,United States,Fluent Korean,Computer programmer,Has contract with employer,Female,Ethnic Korean
25,1x1,68,1,1,Short-term work,Japan,Fluent Korean,Nurse,Job interviews only,Male,Ethnic Korean
25,1x2,68,2,0,Claim asylum,Yemen,Spoke via interpreter,Childcare provider,Has contract with employer,Male,Non-ethnic Korean
25,2x1,68,1,1,Study,Vietnam,Broken Korean,Nurse,Will look for work after arrival,Female,Non-ethnic Korean
25,2x2,68,2,0,Short-term work,Vietnam,Broken Korean,Research scientist,Job interviews only,Female,Ethnic Korean
25,3x1,68,1,1,Study,North Korea,Broken Korean,Teacher,Will look for work after arrival,Female,Non-ethnic Korean
25,3x2,68,2,0,Short-term work,Japan,Tried Korean but unable,Office worker,Has contract with employer,Male,Ethnic Korean
25,4x1,68,1,0,Study,China,Tried Korean but unable,Nurse,Job interviews only,Female,Non-ethnic Korean
25,4x2,68,2,1,Short-term work,Vietnam,Tried Korean but unable,Teacher,Has contract with employer,Male,Ethnic Korean
25,5x1,68,1,1,Study,North Korea,Broken Korean,Agricultural worker,Has contract with employer,Female,Non-ethnic Korean
25,5x2,68,2,0,Resettle,Yemen,Spoke via interpreter,Doctor,Has contract with employer,Male,Ethnic Korean
25,6x1,68,1,1,Study,China,Spoke via interpreter,Office worker,Job interviews only,Female,Ethnic Korean
25,6x2,68,2,0,Claim asylum,Yemen,Spoke via interpreter,Doctor,No plans to look for work,Female,Non-ethnic Korean
26,1x1,69,1,1,Short-term work,Vietnam,Broken Korean,Doctor,No plans to look for work,Female,Non-ethnic Korean
26,1x2,69,2,0,Claim asylum,Japan,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
26,2x1,69,1,0,Resettle,Vietnam,Broken Korean,Agricultural worker,No plans to look for work,Female,Non-ethnic Korean
26,2x2,69,2,1,Resettle,China,Spoke via interpreter,Office worker,Has contract with employer,Female,Ethnic Korean
26,3x1,69,1,0,Short-term work,Yemen,Fluent Korean,Teacher,Has contract with employer,Male,Non-ethnic Korean
26,3x2,69,2,1,Study,Yemen,Tried Korean but unable,Doctor,No plans to look for work,Female,Non-ethnic Korean
26,4x1,69,1,1,Claim asylum,United States,Tried Korean but unable,Nurse,Has contract with employer,Female,Non-ethnic Korean
26,4x2,69,2,0,Claim asylum,Vietnam,Fluent Korean,Childcare provider,Has contract with employer,Female,Non-ethnic Korean
26,5x1,69,1,0,Resettle,United States,Broken Korean,Childcare provider,Job interviews only,Male,Ethnic Korean
26,5x2,69,2,1,Study,United States,Broken Korean,Nurse,Has contract with employer,Male,Non-ethnic Korean
26,6x1,69,1,1,Short-term work,China,Fluent Korean,Teacher,Has contract with employer,Female,Non-ethnic Korean
26,6x2,69,2,0,Short-term work,Yemen,Fluent Korean,Agricultural worker,No plans to look for work,Male,Ethnic Korean
27,1x1,70,1,0,Study,United States,Broken Korean,Agricultural worker,No plans to look for work,Female,Ethnic Korean
27,1x2,70,2,1,Claim asylum,United States,Broken Korean,Agricultural worker,Job interviews only,Female,Non-ethnic Korean
27,2x1,70,1,0,Short-term work,Japan,Tried Korean but unable,Office worker,No plans to look for work,Male,Ethnic Korean
27,2x2,70,2,1,Resettle,North Korea,Fluent Korean,Teacher,Job interviews only,Male,Ethnic Korean
27,3x1,70,1,1,Claim asylum,North Korea,Fluent Korean,Computer programmer,Has contract with employer,Male,Non-ethnic Korean
27,3x2,70,2,0,Short-term work,North Korea,Fluent Korean,Nurse,No plans to look for work,Female,Non-ethnic Korean
27,4x1,70,1,1,Claim asylum,United States,Spoke via interpreter,Agricultural worker,Has contract with employer,Female,Ethnic Korean
27,4x2,70,2,0,Study,North Korea,Spoke via interpreter,Teacher,Job interviews only,Male,Ethnic Korean
27,5x1,70,1,0,Short-term work,Yemen,Broken Korean,Doctor,Has contract with employer,Female,Ethnic Korean
27,5x2,70,2,1,Study,Vietnam,Fluent Korean,Nurse,Has contract with employer,Female,Non-ethnic Korean
27,6x1,70,1,1,Study,United States,Tried Korean but unable,Research scientist,No plans to look for work,Male,Ethnic Korean
27,6x2,70,2,0,Resettle,China,Spoke via interpreter,Computer programmer,Has contract with employer,Male,Ethnic Korean
29,1x1,72,1,1,Resettle,North Korea,Spoke via interpreter,Office worker,Will look for work after arrival,Female,Non-ethnic Korean
29,1x2,72,2,0,Claim asylum,Japan,Broken Korean,Computer programmer,No plans to look for work,Male,Ethnic Korean
29,2x1,72,1,1,Claim asylum,Japan,Broken Korean,Research scientist,Will look for work after arrival,Male,Ethnic Korean
29,2x2,72,2,0,Resettle,North Korea,Spoke via interpreter,Computer programmer,Has contract with employer,Male,Ethnic Korean
29,3x1,72,1,0,Resettle,North Korea,Broken Korean,Doctor,Job interviews only,Male,Ethnic Korean
29,3x2,72,2,1,Resettle,China,Tried Korean but unable,Nurse,No plans to look for work,Female,Non-ethnic Korean
29,4x1,72,1,1,Resettle,United States,Broken Korean,Doctor,Job interviews only,Male,Non-ethnic Korean
29,4x2,72,2,0,Study,North Korea,Tried Korean but unable,Childcare provider,No plans to look for work,Male,Non-ethnic Korean
29,5x1,72,1,0,Study,Yemen,Tried Korean but unable,Teacher,No plans to look for work,Male,Non-ethnic Korean
29,5x2,72,2,1,Resettle,Yemen,Spoke via interpreter,Office worker,Has contract with employer,Male,Non-ethnic Korean
29,6x1,72,1,0,Claim asylum,Vietnam,Broken Korean,Computer programmer,No plans to look for work,Male,Non-ethnic Korean
29,6x2,72,2,1,Resettle,Vietnam,Broken Korean,Agricultural worker,Has contract with employer,Male,Ethnic Korean
30,1x1,73,1,1,Short-term work,North Korea,Tried Korean but unable,Research scientist,Has contract with employer,Male,Non-ethnic Korean
30,1x2,73,2,0,Resettle,Vietnam,Spoke via interpreter,Nurse,Job interviews only,Male,Ethnic Korean
30,2x1,73,1,1,Claim asylum,Vietnam,Spoke via interpreter,Doctor,Has contract with employer,Male,Ethnic Korean
30,2x2,73,2,0,Claim asylum,Yemen,Spoke via interpreter,Office worker,No plans to look for work,Female,Non-ethnic Korean
30,3x1,73,1,0,Study,China,Spoke via interpreter,Doctor,Has contract with employer,Male,Non-ethnic Korean
30,3x2,73,2,1,Resettle,United States,Broken Korean,Nurse,Will look for work after arrival,Female,Non-ethnic Korean
30,4x1,73,1,0,Resettle,Yemen,Broken Korean,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
30,4x2,73,2,1,Study,Japan,Spoke via interpreter,Agricultural worker,Job interviews only,Female,Ethnic Korean
30,5x1,73,1,1,Claim asylum,Japan,Spoke via interpreter,Teacher,Has contract with employer,Female,Non-ethnic Korean
30,5x2,73,2,0,Claim asylum,Yemen,Tried Korean but unable,Teacher,Has contract with employer,Female,Non-ethnic Korean
30,6x1,73,1,0,Study,Vietnam,Spoke via interpreter,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
30,6x2,73,2,1,Resettle,North Korea,Tried Korean but unable,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
31,1x1,74,1,1,Study,Japan,Fluent Korean,Childcare provider,Job interviews only,Male,Ethnic Korean
31,1x2,74,2,0,Resettle,Vietnam,Tried Korean but unable,Childcare provider,No plans to look for work,Female,Ethnic Korean
